2026-01-27 00:04:35,897 | DEBUG | httpcore.connection | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2026-01-27 00:04:35,959 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000277E23628C0>
2026-01-27 00:04:35,959 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000277E109E7C0> server_hostname='raw.githubusercontent.com' timeout=5
2026-01-27 00:04:35,993 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000277E2362890>
2026-01-27 00:04:35,993 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-01-27 00:04:35,993 | DEBUG | httpcore.http11 | send_request_headers.complete
2026-01-27 00:04:35,993 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-01-27 00:04:36,005 | DEBUG | httpcore.http11 | send_request_body.complete
2026-01-27 00:04:36,005 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-01-27 00:04:36,036 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Connection', b'keep-alive'), (b'Content-Length', b'62322'), (b'Cache-Control', b'max-age=300'), (b'Content-Security-Policy', b"default-src 'none'; style-src 'unsafe-inline'; sandbox"), (b'Content-Type', b'text/plain; charset=utf-8'), (b'ETag', b'W/"5f0be0ed2fe5ecf561c4b4488d64c304c35b980a45012ef1d1253b4b5d438af1"'), (b'Strict-Transport-Security', b'max-age=31536000'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Frame-Options', b'deny'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-GitHub-Request-Id', b'415E:3865D1:30D7E6:7A896E:69753835'), (b'Content-Encoding', b'gzip'), (b'Accept-Ranges', b'bytes'), (b'Date', b'Mon, 26 Jan 2026 18:34:35 GMT'), (b'Via', b'1.1 varnish'), (b'X-Served-By', b'cache-bom-vanm7210025-BOM'), (b'X-Cache', b'HIT'), (b'X-Cache-Hits', b'4'), (b'X-Timer', b'S1769452476.979280,VS0,VE0'), (b'Vary', b'Authorization,Accept-Encoding'), (b'Access-Control-Allow-Origin', b'*'), (b'Cross-Origin-Resource-Policy', b'cross-origin'), (b'X-Fastly-Request-ID', b'99257041517fa5b229f7792ad8d3ac4f8f167b36'), (b'Expires', b'Mon, 26 Jan 2026 18:39:35 GMT'), (b'Source-Age', b'105')])
2026-01-27 00:04:36,038 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-01-27 00:04:36,075 | DEBUG | httpcore.http11 | receive_response_body.complete
2026-01-27 00:04:36,076 | DEBUG | httpcore.http11 | response_closed.started
2026-01-27 00:04:36,076 | DEBUG | httpcore.http11 | response_closed.complete
2026-01-27 00:04:36,077 | DEBUG | httpcore.connection | close.started
2026-01-27 00:04:36,078 | DEBUG | httpcore.connection | close.complete
2026-01-27 00:04:37,270 | DEBUG | LiteLLM | [Non-Blocking] Unable to import GenericAPILogger - LiteLLM Enterprise Feature - No module named 'litellm_enterprise'
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | Using AiohttpTransport...
2026-01-27 00:04:37,864 | DEBUG | LiteLLM | Creating AiohttpTransport...
